,compound,neg,neu,pos,Date,Open,High,Low,Close,Adj Close,Volume
98,0.08424612850082372,0.024387149917627676,0.9042512355848434,0.07135996705107084,2018-05-01,2642.959961,2655.27002,2625.409912,2654.800049,2654.800049,3559850000
99,0.08805725338491295,0.02487137330754352,0.9006179883945842,0.07451257253384913,2018-05-02,2654.23999,2660.870117,2631.699951,2635.669922,2635.669922,4010770000
100,0.0664606544293695,0.02841979249800479,0.9047462090981644,0.0668363926576217,2018-05-03,2628.080078,2637.139893,2594.620117,2629.72998,2629.72998,3851470000
101,0.07377687007874016,0.02890748031496063,0.898753937007874,0.07233759842519685,2018-05-04,2621.449951,2670.929932,2615.320068,2663.419922,2663.419922,3327220000
102,0.07887243816254416,0.03189752650176678,0.8933374558303887,0.07475618374558303,2018-05-07,2680.340088,2683.350098,2664.699951,2672.629883,2672.629883,3237960000
103,0.08197719148936171,0.02503744680851064,0.9001531914893618,0.07481106382978724,2018-05-08,2670.26001,2676.340088,2655.199951,2671.919922,2671.919922,3717570000
104,0.08563651960784313,0.019174019607843137,0.9110245098039216,0.0698014705882353,2018-05-09,2678.120117,2701.27002,2674.139893,2697.790039,2697.790039,3909500000
105,0.088534375,0.024944642857142856,0.8980303571428572,0.07702232142857143,2018-05-10,2705.02002,2726.110107,2704.540039,2723.070068,2723.070068,3333050000
106,0.07178089758342923,0.031851553509781354,0.8967710011507479,0.0713716915995397,2018-05-11,2722.699951,2732.860107,2717.449951,2727.719971,2727.719971,2862700000
107,0.08171073170731707,0.0389869918699187,0.8804943089430894,0.08052032520325204,2018-05-14,2738.469971,2742.100098,2725.469971,2730.129883,2730.129883,2972660000
108,0.07515530381050464,0.030950566426364574,0.8945973223480947,0.07445314109165808,2018-05-15,2718.590088,2718.590088,2701.909912,2711.449951,2711.449951,3290680000
109,0.08180707070707072,0.034552188552188556,0.8860538720538721,0.07939057239057239,2018-05-16,2712.620117,2727.76001,2712.169922,2722.459961,2722.459961,3202670000
110,0.07312919896640827,0.036987080103359174,0.8837687338501292,0.07924547803617571,2018-05-17,2719.709961,2731.959961,2711.360107,2720.129883,2720.129883,3475400000
111,0.07024734375,0.04545625,0.8700703125,0.084471875,2018-05-18,2717.350098,2719.5,2709.179932,2712.969971,2712.969971,3368690000
112,0.08069272030651341,0.044145593869731804,0.8643850574712644,0.09146934865900383,2018-05-21,2735.389893,2739.189941,2725.699951,2733.01001,2733.01001,3019890000
113,0.06925518102372034,0.04503495630461923,0.8717141073657928,0.0832521847690387,2018-05-22,2738.340088,2742.23999,2721.879883,2724.439941,2724.439941,3366310000
114,0.06704603825136612,0.04797950819672132,0.8655874316939891,0.0864412568306011,2018-05-23,2713.97998,2733.330078,2709.540039,2733.290039,2733.290039,3326290000
115,0.04037940446650124,0.049727047146401984,0.8790099255583126,0.07126178660049627,2018-05-24,2730.939941,2731.969971,2707.379883,2727.76001,2727.76001,3256030000
116,0.047433279483037154,0.0488578352180937,0.8801050080775443,0.07103554119547659,2018-05-25,2723.600098,2727.360107,2714.98999,2721.330078,2721.330078,2995260000
117,0.07124146788990826,0.0531743119266055,0.8579522935779816,0.08886605504587157,2018-05-29,2705.110107,2710.669922,2676.810059,2689.860107,2689.860107,3736890000
118,0.03707044334975369,0.06300492610837438,0.8567647783251231,0.08023522167487684,2018-05-30,2702.429932,2729.340088,2702.429932,2724.01001,2724.01001,3561050000
119,0.057370668693009115,0.04344376899696049,0.8824559270516716,0.07410182370820668,2018-05-31,2720.97998,2722.5,2700.679932,2705.27002,2705.27002,4235370000
120,-0.06115000000000001,0.13675,0.7949999999999999,0.06825,2018-06-01,2718.699951,2736.929932,2718.699951,2734.620117,2734.620117,3684130000
